Date,Open,High,Low,Close,Volume
20/11/2021 00:00,4302.95,4329.74,4288.62,4301.47,1990.247361
20/11/2021 01:00,4300.98,4336.91,4300.98,4330.56,279.4004934
20/11/2021 02:00,4331.09,4336.75,4312.2,4312.4,321.0699189
20/11/2021 03:00,4314.8,4317.43,4282.09,4287.44,266.2057668
20/11/2021 04:00,4286.16,4299.58,4267.77,4297.03,268.6992865
20/11/2021 05:00,4300,4302.77,4271.52,4281.2,208.7060065
20/11/2021 06:00,4282.27,4322.74,4278.84,4297.74,232.1710126
20/11/2021 07:00,4298.18,4303.08,4277.9,4284.79,143.0651962
20/11/2021 08:00,4286.55,4312.87,4274.88,4294.78,188.5459376
20/11/2021 09:00,4295.99,4311.52,4284.76,4297.16,124.0659134
20/11/2021 10:00,4294.88,4318.98,4284.01,4299,258.8705604
20/11/2021 11:00,4301.94,4326.68,4299.15,4324.41,218.9970441
20/11/2021 12:00,4324.73,4339.17,4312.45,4317.23,483.2498551
20/11/2021 13:00,4317.77,4324.11,4291.72,4297.35,128.5359913
20/11/2021 14:00,4303.29,4325.49,4291.99,4292.27,52.91271617
20/11/2021 15:00,4292.42,4294.72,4217.49,4223.91,832.932407
20/11/2021 16:00,4219.53,4248.79,4205.87,4247.82,364.4306244
20/11/2021 17:00,4247.74,4257.36,4231.15,4257.36,163.3419676
20/11/2021 18:00,4254.88,4398.89,4251.33,4375.75,964.1686403
20/11/2021 19:00,4374,4403.85,4372.15,4403.31,295.7848794
20/11/2021 20:00,4403.31,4420,4396.09,4411.4,266.506234
20/11/2021 21:00,4412.08,4433.13,4403.72,4433.13,487.4114622
20/11/2021 22:00,4433.22,4439.92,4408.52,4413.99,206.5704382
20/11/2021 23:00,4415.8,4426.39,4396.21,4415.51,183.2748622
21/11/2021 00:00,4415.06,4419.79,4388.87,4396.8,157.0552081
21/11/2021 01:00,4398.29,4399.68,4373.74,4378.13,206.2471841
21/11/2021 02:00,4381.11,4383.05,4338.88,4374.93,302.4093631
21/11/2021 03:00,4372.31,4390.29,4343.75,4346.07,129.359784
21/11/2021 04:00,4344.96,4370.52,4330.52,4335.29,223.05469
21/11/2021 05:00,4331.74,4369.59,4331.74,4366.91,105.732337
21/11/2021 06:00,4374.5,4377.94,4357.1,4377.94,264.4417874
21/11/2021 07:00,4380.15,4380.15,4351.76,4353.25,118.4232879
21/11/2021 08:00,4354.59,4371.3,4338.26,4341.99,238.015049
21/11/2021 09:00,4341.75,4362.24,4340.61,4353.07,123.9749492
21/11/2021 10:00,4359.82,4359.82,4310.78,4320.38,106.5798419
21/11/2021 11:00,4325.57,4355.44,4304.6,4324.77,197.0399527
21/11/2021 12:00,4320.75,4354.35,4313.62,4333.97,357.9824874
21/11/2021 13:00,4332.05,4344.92,4320.82,4320.82,39.01698103
21/11/2021 14:00,4318.94,4340.61,4305,4333.76,439.8606649
21/11/2021 15:00,4334.42,4387.55,4326.54,4373.13,141.2511732
21/11/2021 16:00,4379.36,4441,4342.09,4414.77,359.0839909
21/11/2021 17:00,4418.21,4426.66,4371.99,4376.62,181.5565583
21/11/2021 18:00,4376.98,4376.98,4362.97,4364.97,194.0737155
21/11/2021 19:00,4364.04,4368.93,4342.97,4348.18,284.4277493
21/11/2021 20:00,4351.05,4392.64,4351.05,4389.72,228.0541721
21/11/2021 21:00,4389.16,4391.33,4366.08,4366.51,270.3294204
21/11/2021 22:00,4366.71,4366.71,4305.03,4314.51,261.2291954
21/11/2021 23:00,4319.69,4339.78,4247.08,4265.94,414.7635877
22/11/2021 00:00,4264.08,4268.53,4209.42,4234.81,574.4949784
22/11/2021 01:00,4230.26,4245.4,4173.83,4217.99,376.7598443
22/11/2021 02:00,4217.31,4221.3,4165,4191.97,193.1797699
22/11/2021 03:00,4187.11,4212.37,4129.23,4170.71,544.5335249
22/11/2021 04:00,4162.17,4184.93,4152.88,4158.56,171.4199417
22/11/2021 05:00,4157.92,4184.42,4128.21,4184.42,735.9992384
22/11/2021 06:00,4180.9,4187.62,4163.52,4183.06,535.1232071
22/11/2021 07:00,4182.78,4219.33,4181.64,4191.42,503.5987088
22/11/2021 08:00,4190.77,4214.01,4188.95,4199.15,204.1775306
22/11/2021 09:00,4201.64,4240.21,4192.91,4193.33,514.2531694
22/11/2021 10:00,4195.71,4208.57,4170,4206.69,831.1079203
22/11/2021 11:00,4206.69,4216.13,4173.46,4176.95,326.9346408
22/11/2021 12:00,4174.89,4236.34,4172.22,4181.03,712.9088886
22/11/2021 13:00,4186.17,4322.44,4131.46,4282.14,1740.64188
22/11/2021 14:00,4281.97,4303.33,4236.14,4243.9,520.2863747
22/11/2021 15:00,4245.6,4255.32,4228.81,4239.54,427.6225162
22/11/2021 16:00,4242.16,4250.83,4212.4,4234.43,438.4449638
